a,b,c,d,e,f,01-02,01-03,01-04,01-05,01-06,01-09,01-10,01-11,01-12,01-13,01-16,01-17,01-18,01-19,01-20,01-23,01-24,01-25,01-26,01-31,02-01,02-02,02-03,02-06,02-07,02-08,02-09,02-10,02-13,02-14,02-15,02-16,02-17,02-20,02-21,02-22,02-23,02-24,02-27,02-28,03-02,03-03,03-06,03-07,03-08,03-09,03-10,03-13,03-14,03-15,03-16,03-17,03-20,03-21,03-22,03-23,03-24,03-27,03-28,03-29,03-30,03-31,04-03,04-04,04-05,04-06,04-07,04-10,04-11,04-12,04-13,04-14,04-17,04-18,04-19,04-20,04-21,04-24,04-25,04-26,04-27,04-28,05-02,05-04,05-08,05-10,05-11,05-12,05-15,05-16,05-17,05-18,05-19,05-22,05-23,05-24,05-25,05-26,05-29,05-30,05-31,06-01,06-02,06-05,06-07,06-08,06-09,06-12,06-13,06-14,06-15,06-16,06-19,06-20,06-21,06-22,06-23,06-26,06-27,06-28,06-29,06-30,07-03,07-04,07-05,07-06,07-07,07-10,07-11,07-12,07-13,07-14,07-17,07-18,07-19,07-20,07-21,07-24,07-25,07-26,07-27,07-28,07-31,08-01,08-02,08-03,08-04,08-07,08-08,08-09,08-10,08-11,08-14,08-16,08-17,08-18,08-21,08-22,08-23,08-24,08-25,08-28,08-29,08-30,08-31,09-01,09-04,09-05,09-06,09-07,09-08,09-11,09-12,09-13,09-14,09-15,09-18,09-19,09-20,09-21,09-22,09-25,09-26,09-27,09-28,09-29,10-10,10-11,10-12,10-13,10-16,10-17,10-18,10-19,10-20,10-23,10-24,10-25,10-26,10-27,10-30,10-31,11-01,11-02,11-03,11-06,11-07,11-08,11-09,11-10,11-13,11-14,11-15,11-16,11-17,11-20,11-21,11-22,11-23,11-24,11-27,11-28,11-29,11-30,12-04,12-05,12-06,12-07,12-08,12-11,12-12,12-13,12-14,12-15,12-18,12-19,12-20,12-21,12-22,12-26,12-27,12-28,12-29,
도매,갈치,광주,냉동(1kg),중품,2017,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,12786
도매,갈치,광주,생선(1kg),중품,2017,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,23000,23000,23000,23000,23000,23000,23000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,15000,15000,13000,13000,13000,13500,13500,13500,13000,13000,12000,13000,13000,13000,13000,12000,13000,12000,13000,15000,16000,16000,13000,13500,15000,20000,25000,24000,25000,25000,25000,25000,30000,28000,30000,30000,30000,30000,30000,31000,29000,29000,29000,25000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,21412
도매,갈치,대구,냉동(1kg),중품,2017,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,16004
도매,갈치,대구,생선(1kg),중품,2017,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,26000,24000,24000,24000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,21000,21000,21000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,23424
도매,갈치,대전,냉동(1kg),중품,2017,15000,15000,15000,15000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15500,15500,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14996
도매,갈치,대전,생선(1kg),중품,2017,20000,20000,20000,20000,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,22000,22000,22000,22500,22500,22000,22000,22000,21000,21000,20000,20000,19000,19000,19000,18000,18000,18000,18000,18000,18000,18000,17000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21350
도매,갈치,부산,냉동(1kg),중품,2017,13000,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,13975
도매,갈치,부산,생선(1kg),중품,2017,20000,20000,20000,18000,18000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,23000,23000,23000,23000,23000,23000,23000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,15000,15000,17000,17000,17000,15000,17000,17000,17000,17000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000
도매,갈치,서울,냉동(1kg),중품,2017,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14852
도매,갈치,서울,생선(1kg),중품,2017,22000,22000,19000,18000,18000,20000,22000,23000,23000,24000,25000,25000,25000,23000,22000,22000,23000,26000,28000,28000,28000,28000,25000,25000,24000,24000,26000,26000,26000,25000,25000,23000,21000,19000,18000,19000,19000,20000,20000,20000,20000,22000,22000,23000,23000,24000,24000,24000,23000,23000,23000,23000,24000,25000,25000,25000,25000,25000,26000,26000,26000,26000,27000,27000,25000,27000,24000,24000,24000,26000,25000,26000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,23000,23000,23000,25000,27000,27000,24000,25000,25000,24000,22000,22000,22000,20000,19000,18000,17000,16000,18000,18000,15000,14000,14000,16000,19000,22000,22000,22000,22000,18000,18000,16000,16000,16000,15000,17000,18000,20000,20000,17000,15000,15000,15000,18000,16000,16000,15000,15000,15000,13000,13000,13000,16000,16000,16000,15000,17000,17000,19000,17000,15000,17000,17000,17000,20000,20000,20000,20000,20000,17000,18000,20000,18000,20000,17000,16000,17000,17000,15000,15000,15000,14000,16000,16000,18000,20000,22000,20000,18000,20000,21000,22000,19000,18000,20000,22000,23000,20000,18000,21000,22000,22000,23000,21000,19000,18000,17000,17000,17000,18000,19000,20000,21000,21000,22000,22000,20000,22000,22000,22000,20000,20000,19000,17000,17000,16000,15000,14000,14000,15000,15000,15000,17000,18000,16000,18000,17000,19000,19000,20000,23000,21000,20000,20000,20000,20000,22000,22000,22000,20000,20000,20000,20000,22000,22000,21000,21000,21000,21000,21000,20658
도매,건멸치,광주,건멸치(1.5kg),중품,2017,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,19169
도매,건멸치,대구,건멸치(1.5kg),중품,2017,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18317
도매,건멸치,대전,건멸치(1.5kg),중품,2017,17000,17000,18000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,18000,18000,18000,18000,18000,18000,16000,16000,16000,16000,16000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,19000,19000,19000,19000,19000,19000,18000,18000,18000,18000,17000,18000,18000,18000,18000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,19000,19000,19000,19000,19000,19000,20000,20000,20000,21000,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,20000,20000,19000,19000,19000,19000,19000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17000,17000,17000,17000,17000,17000,18435
도매,건멸치,부산,건멸치(1.5kg),중품,2017,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20687
도매,건멸치,서울,건멸치(1.5kg),중품,2017,16000,16000,16000,16000,16000,16000,16300,16500,16500,16500,16300,16300,16500,16500,16800,16800,16800,17000,17000,17000,17000,16500,16500,16500,16500,16500,16500,16000,16000,16500,16500,16500,16500,17000,17000,17000,17600,17600,17600,18000,18000,18000,18000,18000,18000,18000,18300,18300,18300,18300,18300,18300,18300,18500,18500,18500,18500,19300,19300,19300,19300,19300,19300,19000,19000,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19300,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19500,19100,19100,19100,19100,19100,19100,19100,19100,19300,19500,19500,19500,19500,19500,19500,19500,19800,19800,19800,19100,19100,19100,19100,19100,19100,19100,19300,19100,19100,19100,19100,19100,19100,19500,19500,19500,19500,19300,19300,19300,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,19300,19300,19300,19300,19300,19000,19000,19000,19000,19000,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,19000,19000,19000,19000,19000,18500,18500,18939
도매,건오징어,광주,건오징어(20마리),중품,2017,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,50000,50000,50000,50000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,43930
도매,건오징어,대구,건오징어(20마리),중품,2017,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,43000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,62000,46214
